timestamp,latitude,longitude,speed,fuel_level,engine_temp,accelerometer_x,accelerometer_y,accelerometer_z,head_position_X,eye_closed_duration,driver_state,vehicle_health,vehicle_type
2024-01-01 08:00:00,37.767247,-122.411178,84,35.59,93,0.35,-1.46,1.39,Straight,0.25,awake,normal,SUV
2024-01-01 08:00:05,37.780884,-122.409706,0,22.73,110,-0.91,0.4,2.25,Left,1.8,distracted,normal,truck
2024-01-01 08:00:10,37.776534,-122.413437,8,22.27,83,-2.88,-2.05,2.22,Left,0.45,awake,normal,SUV
2024-01-01 08:00:15,37.773749,-122.422261,26,34.28,128,0.23,-1.53,-0.53,Left,2.78,drowsy,needs_maintenance,truck
2024-01-01 08:00:20,37.782769,-122.425675,29,63.61,80,2.37,-2.21,-1.23,Straight,2.0,awake,normal,SUV
2024-01-01 08:00:25,37.77929,-122.425196,136,94.8,93,1.26,1.87,-0.15,Right,1.53,distracted,normal,SUV
2024-01-01 08:00:30,37.778103,-122.412474,77,72.08,98,0.01,-1.25,0.17,Straight,0.3,awake,normal,SUV
2024-01-01 08:00:35,37.781156,-122.419579,66,24.87,114,-2.71,-2.24,-2.47,Left,1.09,distracted,needs_maintenance,truck
2024-01-01 08:00:40,37.773906,-122.422115,140,64.05,95,1.97,-1.4,1.38,Straight,1.17,awake,normal,SUV
2024-01-01 08:00:45,37.779661,-122.418868,126,15.29,66,1.02,-2.81,0.94,Right,1.16,distracted,needs_maintenance,SUV
2024-01-01 08:00:50,37.769528,-122.420169,112,30.68,71,2.78,-2.56,-2.93,Right,0.48,awake,normal,SUV
2024-01-01 08:00:55,37.774101,-122.418931,54,65.55,101,-0.99,1.32,1.01,Left,1.71,distracted,normal,truck
2024-01-01 08:01:00,37.765799,-122.411308,126,86.29,63,-0.04,1.05,2.34,Straight,0.97,awake,normal,sedan
2024-01-01 08:01:05,37.765925,-122.421624,24,86.41,82,-2.32,-2.51,1.64,Straight,2.38,drowsy,normal,SUV
2024-01-01 08:01:10,37.773629,-122.416194,123,50.98,78,-1.4,-0.76,-1.37,Right,2.26,drowsy,normal,SUV
2024-01-01 08:01:15,37.779685,-122.427107,7,86.55,88,-1.08,-1.52,-2.5,Right,1.83,distracted,normal,SUV
2024-01-01 08:01:20,37.777539,-122.411915,110,88.26,61,-1.22,-2.39,2.84,Left,2.39,drowsy,normal,sedan
2024-01-01 08:01:25,37.778259,-122.428285,23,61.01,61,1.56,1.72,-1.07,Straight,1.74,awake,normal,sedan
2024-01-01 08:01:30,37.774649,-122.40979,14,91.27,80,-2.49,0.75,1.99,Left,0.86,awake,normal,SUV
2024-01-01 08:01:35,37.778012,-122.424291,28,47.07,92,-0.51,-1.57,1.03,Straight,0.25,awake,normal,SUV
2024-01-01 08:01:40,37.775905,-122.420921,51,12.29,118,-2.5,0.97,-0.38,Right,1.07,distracted,needs_maintenance,truck
2024-01-01 08:01:45,37.781165,-122.419493,107,83.57,112,-2.91,-1.71,-1.72,Left,2.5,drowsy,needs_maintenance,truck
2024-01-01 08:01:50,37.769031,-122.428444,17,76.37,79,-1.84,0.97,-0.87,Right,2.68,drowsy,normal,sedan
2024-01-01 08:01:55,37.774602,-122.419745,36,79.76,109,0.25,1.98,-0.13,Straight,0.95,awake,normal,truck
2024-01-01 08:02:00,37.782707,-122.422154,121,68.17,73,2.99,-2.51,2.12,Right,0.23,awake,normal,sedan
2024-01-01 08:02:05,37.772964,-122.428142,128,36.5,85,1.17,-0.54,1.71,Left,1.65,distracted,normal,SUV
2024-01-01 08:02:10,37.784312,-122.424129,28,18.07,61,-0.67,-0.24,-0.3,Right,0.49,awake,needs_maintenance,SUV
2024-01-01 08:02:15,37.770888,-122.417698,83,71.86,113,-1.71,0.11,-2.18,Straight,1.89,awake,needs_maintenance,truck
2024-01-01 08:02:20,37.769046,-122.421129,12,14.07,94,-2.07,1.57,-2.17,Left,0.9,awake,needs_maintenance,SUV
2024-01-01 08:02:25,37.77175,-122.424935,133,59.63,127,0.85,1.59,1.82,Straight,1.84,awake,needs_maintenance,truck
2024-01-01 08:02:30,37.778572,-122.416675,131,69.66,105,1.16,-1.57,1.46,Right,0.12,awake,normal,truck
2024-01-01 08:02:35,37.78167,-122.422732,8,99.54,128,1.99,0.12,2.3,Left,2.14,drowsy,needs_maintenance,truck
2024-01-01 08:02:40,37.779832,-122.412869,46,11.52,93,-0.34,0.75,-1.53,Left,1.23,distracted,needs_maintenance,SUV
2024-01-01 08:02:45,37.771762,-122.427809,72,45.97,69,0.77,0.99,0.52,Straight,1.23,awake,normal,SUV
2024-01-01 08:02:50,37.765576,-122.417015,34,84.88,125,-0.58,-2.37,-1.9,Straight,0.72,awake,needs_maintenance,truck
2024-01-01 08:02:55,37.765139,-122.422336,33,88.55,110,-1.25,-1.72,-0.3,Right,2.0,distracted,normal,truck
2024-01-01 08:03:00,37.782061,-122.415863,63,77.83,117,-2.95,-0.74,0.54,Left,1.06,distracted,needs_maintenance,truck
2024-01-01 08:03:05,37.769309,-122.419964,28,30.46,95,2.3,2.53,0.58,Straight,2.29,drowsy,normal,SUV
2024-01-01 08:03:10,37.768689,-122.425667,15,55.53,106,-2.29,2.55,0.73,Left,0.53,awake,normal,truck
2024-01-01 08:03:15,37.765762,-122.412738,30,10.5,79,0.18,2.53,1.2,Left,1.65,distracted,needs_maintenance,SUV
2024-01-01 08:03:20,37.783415,-122.421448,30,32.65,95,0.64,-2.63,1.65,Left,1.21,distracted,normal,SUV
2024-01-01 08:03:25,37.784353,-122.41513,55,48.6,85,-0.34,2.42,1.6,Straight,1.25,awake,normal,SUV
2024-01-01 08:03:30,37.767985,-122.417875,113,28.69,128,0.23,0.84,-0.69,Left,2.48,drowsy,needs_maintenance,truck
2024-01-01 08:03:35,37.771818,-122.413473,107,42.93,116,-2.65,-2.46,-2.52,Left,1.47,distracted,needs_maintenance,truck
2024-01-01 08:03:40,37.784228,-122.428062,30,37.92,91,-2.85,-0.58,-0.85,Left,1.36,distracted,normal,SUV
2024-01-01 08:03:45,37.774761,-122.412377,51,65.86,121,-2.47,-1.19,1.02,Straight,1.71,awake,needs_maintenance,truck
2024-01-01 08:03:50,37.770149,-122.412248,49,55.23,84,-2.51,-1.58,-0.53,Left,0.71,awake,normal,SUV
