timestamp,latitude,longitude,speed,fuel_level,engine_temp,accelerometer_x,accelerometer_y,accelerometer_z,head_position_X,head_position_Y,eye_closed_duration,driver_state,vehicle_health,vehicle_type
2024-01-01 08:00:00,37.77,-122.42,60.0,75.0,85.0,0.0,0.0,1.0,Straight,Neutral,0.5,awake,normal,sedan
2024-01-01 08:00:05,37.76,-122.41,20.0,55.0,95.0,0.1,-0.2,0.9,Left,Down,3.2,drowsy,normal,SUV
2024-01-01 08:00:10,37.78,-122.43,100.0,50.0,90.0,1.5,-1.0,0.3,Right,Down,1.0,awake,normal,sedan
2024-01-01 08:00:15,37.77,-122.42,40.0,30.0,125.0,0.2,-0.1,1.1,Straight,Neutral,0.8,awake,needs_maintenance,sedan
2024-01-01 08:00:20,37.78,-122.41,42.32,50.12,95.99,0.42,-0.96,0.94,Left,Neutral,0.6,awake,normal,sedan
2024-01-01 08:00:25,37.76,-122.42,40.28,37.38,70.69,-0.2,-0.91,0.95,Straight,Up,0.52,awake,normal,truck
2024-01-01 08:00:30,37.77,-122.42,41.86,98.49,88.23,-0.87,0.9,0.93,Left,Neutral,0.17,awake,normal,SUV
2024-01-01 08:00:35,37.76,-122.41,64.4,49.61,95.0,-0.22,-0.64,0.51,Straight,Neutral,0.17,awake,normal,sedan
2024-01-01 08:00:40,37.77,-122.43,55.81,85.81,97.8,-0.35,0.14,0.04,Right,Neutral,0.73,awake,normal,truck
2024-01-01 08:00:45,37.77,-122.41,51.24,62.81,86.28,0.6,-0.85,0.97,Straight,Neutral,0.14,awake,normal,SUV
2024-01-01 08:00:50,37.76,-122.41,71.61,73.62,88.18,0.3,0.83,0.7,Straight,Up,0.93,awake,normal,sedan
2024-01-01 08:00:55,37.77,-122.41,75.49,69.93,84.17,0.43,0.52,0.12,Straight,Neutral,0.12,awake,normal,truck
2024-01-01 08:01:00,37.77,-122.42,48.07,12.29,96.87,0.13,0.39,-0.72,Straight,Neutral,0.48,awake,normal,SUV
2024-01-01 08:01:05,37.76,-122.4,46.45,63.9,97.89,0.27,0.74,0.61,Straight,Neutral,0.81,awake,normal,sedan
2024-01-01 08:01:10,37.77,-122.41,76.27,90.65,78.16,-1.0,-0.29,-0.39,Straight,Neutral,0.65,awake,normal,sedan
2024-01-01 08:01:15,37.77,-122.41,46.73,34.25,76.56,-0.19,-0.87,-0.49,Straight,Neutral,0.56,awake,normal,sedan
2024-01-01 08:01:20,37.77,-122.43,64.38,99.8,85.08,-0.44,0.82,-0.52,Straight,Neutral,0.05,awake,normal,sedan
2024-01-01 08:01:25,37.78,-122.42,54.79,70.49,77.26,-0.06,0.97,-0.2,Left,Neutral,0.8,awake,normal,sedan
2024-01-01 08:01:30,37.76,-122.41,63.64,72.62,90.33,0.02,-0.55,0.29,Straight,Neutral,0.02,awake,normal,sedan
2024-01-01 08:01:35,37.77,-122.4,44.54,22.38,97.74,-0.48,0.32,0.63,Straight,Neutral,0.88,awake,normal,SUV
2024-01-01 08:01:40,37.76,-122.43,75.31,90.75,75.66,0.4,0.69,0.71,Straight,Neutral,0.28,awake,normal,SUV
2024-01-01 08:01:45,37.78,-122.4,40.37,80.68,73.04,-0.99,-0.68,0.1,Straight,Neutral,0.66,awake,normal,truck
2024-01-01 08:01:50,37.76,-122.41,47.15,31.35,80.99,0.44,-0.38,0.09,Straight,Neutral,0.74,awake,normal,SUV
2024-01-01 08:01:55,37.77,-122.41,75.68,98.1,88.93,0.01,0.15,-0.01,Straight,Neutral,0.79,awake,normal,sedan
2024-01-01 08:02:00,37.77,-122.43,79.78,68.09,84.1,0.77,0.5,0.91,Straight,Neutral,0.28,awake,normal,SUV
2024-01-01 08:02:05,37.77,-122.4,55.4,16.78,95.53,-0.66,0.11,0.87,Straight,Neutral,0.32,awake,normal,SUV
2024-01-01 08:02:10,37.76,-122.41,50.17,99.1,78.86,0.7,-0.73,0.42,Straight,Neutral,0.32,awake,normal,truck
2024-01-01 08:02:15,37.77,-122.42,40.21,65.04,88.84,-0.86,-0.21,-0.9,Left,Up,0.19,awake,normal,truck
2024-01-01 08:02:20,37.77,-122.42,58.62,70.48,86.28,0.18,-0.94,-0.93,Left,Neutral,0.29,awake,normal,sedan
2024-01-01 08:02:25,37.76,-122.41,58.29,79.3,95.26,-0.18,0.4,-0.72,Straight,Down,0.19,awake,normal,SUV
2024-01-01 08:02:30,37.77,-122.43,57.56,45.89,72.35,0.93,0.67,0.39,Straight,Neutral,0.03,awake,normal,sedan
2024-01-01 08:02:35,37.76,-122.42,66.41,59.43,78.4,0.48,0.11,0.22,Straight,Neutral,0.95,awake,normal,SUV
2024-01-01 08:02:40,37.77,-122.41,43.67,11.3,72.82,0.96,-0.65,-0.97,Straight,Neutral,0.31,awake,normal,truck
2024-01-01 08:02:45,37.77,-122.42,64.63,68.48,89.05,-0.25,0.25,0.01,Left,Neutral,0.05,awake,normal,truck
2024-01-01 08:02:50,37.76,-122.43,74.69,67.82,89.09,0.35,0.15,-0.74,Left,Neutral,0.8,awake,normal,SUV
2024-01-01 08:02:55,37.77,-122.41,47.83,68.63,72.08,-0.96,-0.81,0.37,Straight,Neutral,0.1,awake,normal,sedan
2024-01-01 08:03:00,37.78,-122.43,59.84,83.3,90.79,0.87,-0.92,-0.16,Right,Neutral,0.35,awake,normal,SUV
2024-01-01 08:03:05,37.77,-122.41,56.5,61.83,81.16,-0.32,0.86,0.72,Straight,Neutral,0.78,awake,normal,sedan
2024-01-01 08:03:10,37.78,-122.43,59.86,91.23,81.69,-0.8,-0.89,0.92,Left,Neutral,0.3,awake,normal,truck
2024-01-01 08:03:15,37.78,-122.41,65.27,53.43,83.45,-0.34,0.35,0.5,Straight,Neutral,0.29,awake,normal,truck
2024-01-01 08:03:20,37.76,-122.42,42.23,15.18,92.11,0.41,0.94,0.38,Left,Neutral,0.55,awake,normal,sedan
2024-01-01 08:03:25,37.78,-122.42,72.87,30.03,91.19,-0.83,0.97,-0.25,Straight,Neutral,0.08,awake,normal,SUV
2024-01-01 08:03:30,37.78,-122.4,68.33,77.8,84.45,0.41,-0.5,-0.34,Straight,Neutral,0.38,awake,normal,truck
2024-01-01 08:03:35,37.77,-122.41,72.91,76.69,92.33,-0.52,-0.2,-0.04,Straight,Neutral,0.68,awake,normal,SUV
2024-01-01 08:03:40,37.77,-122.41,41.73,98.01,96.73,0.99,-0.85,0.11,Right,Neutral,0.53,awake,normal,SUV
2024-01-01 08:03:45,37.77,-122.41,67.88,50.91,81.53,0.83,0.92,-0.88,Straight,Neutral,0.74,awake,normal,SUV
2024-01-01 08:03:50,37.77,-122.42,49.18,68.22,77.98,-0.48,-0.09,-0.94,Straight,Neutral,0.36,awake,normal,truck
2024-01-01 08:03:55,37.77,-122.42,72.9,21.99,98.49,0.23,-0.16,0.87,Left,Up,0.73,awake,normal,sedan
2024-01-01 08:04:00,37.76,-122.42,46.02,82.95,87.82,0.94,0.68,0.68,Straight,Neutral,0.38,awake,normal,sedan
2024-01-01 08:04:05,37.77,-122.43,61.37,87.83,92.5,0.17,0.45,0.51,Straight,Neutral,0.91,awake,normal,SUV
2024-01-01 08:04:10,37.76,-122.42,75.13,34.73,92.71,-0.46,-0.96,-0.0,Straight,Neutral,0.05,awake,normal,truck
2024-01-01 08:04:15,37.77,-122.41,75.07,97.12,82.1,-0.94,0.51,0.24,Straight,Neutral,0.13,awake,normal,truck
2024-01-01 08:04:20,37.76,-122.43,65.47,41.55,86.64,0.45,0.09,-0.1,Right,Neutral,0.09,awake,normal,truck
2024-01-01 08:04:25,37.77,-122.41,77.06,81.68,84.76,-0.08,0.96,-0.01,Straight,Neutral,0.26,awake,normal,truck
2024-01-01 08:04:30,37.76,-122.43,63.39,21.6,82.01,-0.64,0.39,-0.18,Left,Neutral,0.7,awake,normal,sedan
2024-01-01 08:04:35,37.78,-122.41,46.76,30.15,78.36,-0.82,-0.76,-0.08,Straight,Neutral,0.18,awake,normal,SUV
2024-01-01 08:04:40,37.77,-122.41,59.25,13.54,90.63,-0.69,-0.25,-0.99,Left,Up,0.51,awake,normal,SUV
2024-01-01 08:04:45,37.77,-122.4,49.44,58.29,92.8,0.44,-0.88,-0.7,Straight,Neutral,0.53,awake,normal,truck
2024-01-01 08:04:50,37.78,-122.41,57.9,12.74,85.98,-0.46,-0.25,-0.96,Straight,Neutral,0.24,awake,normal,truck
2024-01-01 08:04:55,37.77,-122.43,67.16,90.15,93.68,-0.83,0.07,0.17,Straight,Neutral,0.5,awake,normal,SUV
2024-01-01 08:05:00,37.76,-122.42,64.3,42.68,77.33,-0.34,0.87,-0.98,Straight,Neutral,0.5,awake,normal,truck
2024-01-01 08:05:05,37.77,-122.4,46.93,17.91,96.9,0.05,-0.18,0.96,Straight,Neutral,0.08,awake,normal,truck
2024-01-01 08:05:10,37.78,-122.4,59.63,83.54,91.69,0.44,0.07,-0.05,Left,Neutral,0.82,awake,normal,SUV
2024-01-01 08:05:15,37.78,-122.41,61.19,27.96,91.22,-0.83,0.01,0.86,Straight,Neutral,0.77,awake,normal,SUV
2024-01-01 08:05:20,37.77,-122.42,79.6,59.37,79.67,-0.49,0.36,0.52,Straight,Neutral,0.81,awake,normal,truck
2024-01-01 08:05:25,37.77,-122.42,69.84,93.66,82.26,0.98,-0.59,-0.24,Right,Neutral,0.93,awake,normal,truck
2024-01-01 08:05:30,37.76,-122.41,48.07,84.51,74.91,0.63,0.33,0.05,Straight,Neutral,0.16,awake,normal,SUV
2024-01-01 08:05:35,37.77,-122.41,75.99,49.52,88.72,-0.12,0.15,-0.29,Straight,Neutral,0.54,awake,normal,truck
2024-01-01 08:05:40,37.76,-122.42,77.59,58.86,88.83,-0.72,0.59,0.24,Straight,Neutral,0.33,awake,normal,truck
2024-01-01 08:05:45,37.78,-122.43,71.14,38.05,74.29,0.43,-0.01,0.51,Straight,Neutral,0.2,awake,normal,SUV
2024-01-01 08:05:50,37.77,-122.42,71.89,64.36,74.5,0.44,0.44,0.28,Straight,Neutral,0.23,awake,normal,sedan
2024-01-01 08:05:55,37.77,-122.42,53.7,26.34,76.82,-0.42,0.23,0.82,Straight,Neutral,0.42,awake,normal,truck
